"run" , "tick" , "Count_U" , "Count_LS" , "Count_LR" , "Count_AS" , "Count_AR"
1 , 1.0 , 9.0 , 1.0 , 0.0 , 0.0 , 0.0
1 , 1441.0 , 7.0 , 0.0 , 0.0 , 0.0 , 3.0
1 , 2881.0 , 4.0 , 0.0 , 0.0 , 0.0 , 6.0
1 , 4321.0 , 1.0 , 0.0 , 0.0 , 0.0 , 9.0
1 , 5761.0 , 1.0 , 0.0 , 0.0 , 0.0 , 9.0
1 , 7200.0 , 0.0 , 0.0 , 0.0 , 0.0 , 10.0
2 , 1.0 , 17.0 , 2.0 , 0.0 , 1.0 , 0.0
2 , 1441.0 , 8.0 , 0.0 , 0.0 , 0.0 , 12.0
2 , 2881.0 , 3.0 , 0.0 , 0.0 , 0.0 , 17.0
2 , 4321.0 , 1.0 , 0.0 , 0.0 , 0.0 , 19.0
2 , 5761.0 , 0.0 , 0.0 , 0.0 , 0.0 , 20.0
2 , 7200.0 , 0.0 , 0.0 , 0.0 , 0.0 , 20.0
